Time,ControlM,TreatedM,ControlS,TreatedS
13.9546,38.6293,13.8629,3.06668,2.93217
75.8784,3.27103,2.02492,0.660398,2.38195
105.532,1.7134,2.18069,0.72979,0.873422
136.93,2.02492,2.01815,0.724177,0.649326
168.328,1.55763,1.77435,0.718719,0.569018
228.507,3.58255,11.5001,0.633421,0.776884
279.965,1.7134,2.15472,0.699071,0.847503
288.687,2.02492,3.58255,0.697355,0.697355
308.746,4.36137,2.2391,0.768619,0.768619
320.957,2.80374,1.90031,0.76706,0.76706
329.678,3.73832,2.45327,0.765188,0.765188
340.144,16.3551,5.45171,1.06256,0.970439
350.61,19.9377,5.45171,1.35994,1.63439
359.332,8.25545,5.45171,1.28337,3.52576
380.264,35.514,10.4841,9.73787,6.89356
391.602,48.9097,30.3738,8.16398,13.7301
411.662,12.1495,13.0582,3.59469,20.6356
423,4.6729,1.93996,1.72171,3.89237
